WAV FILE,MEAN PITCH,MEAN INTENSITY,MEAN FORMANTS,MEAN AMPLITUDE
SURPRISED1,150.06290097523382 Hz,52.73880984103606 dB,4923.144046180964 Hz,1.58E-06
SURPRISED2,295.2733667417599 Hz,58.26748475278553 dB,4816.4273947976335 Hz,2.41E-08
SURPRISED3,224.3933369342055 Hz,57.70119924445581 dB,4852.260818397007 Hz,2.37E-07
SURPRISED4,294.42258740347467 Hz,58.576252844171165 dB,4877.686328165672 Hz,4.41E-07
SURPRISED5,198.91979080489642 Hz,53.04413294040608 dB,4946.000586389296 Hz,-1.05E-05
SAD1,123.23735626141396 Hz,48.58950831239735 dB,4551.836617011114 Hz,4.42E-07
SAD2,230.28932361308873 Hz,50.64414204055319 dB,4912.7867098544075 Hz,-1.77E-06
SAD3,135.37955997905334 Hz,48.88659383943194 dB,4992.740304764052 Hz,-2.77E-06
SAD4,225.50582816692244 Hz,50.643331041746464 dB,4867.7480078762765 Hz,-3.63E-07
SAD5,95.64471944359933 Hz,39.07503673145867 dB,4639.6814247990005 Hz,-1.88E-06
NEUTRAL1,125.4465816585491 Hz,46.02445984333036 dB,4799.217074319132 Hz,-8.95E-07
NEUTRAL2,246.2582867153453 Hz,50.022842935273026 dB,4816.17884441691 Hz,-4.03E-07
NEUTRAL3,162.01537817446084 Hz,54.21853210281884 dB,4971.933853723792 Hz,-2.37E-06
NEUTRAL4,242.00076951058247 Hz,53.595245536454755 dB,4846.270369914446 Hz,-2.95E-07
NEUTRAL5,240.2855331627248 Hz,46.427501074072175 dB,4638.026646392441 Hz,-6.60E-07
HAPPY1,142.97750646923572 Hz,54.39809846540473 dB,4736.277420593876 Hz,1.47E-06
HAPPY2,241.77095421603687 Hz,59.277880445841376 dB,4650.197341097868 Hz,4.83E-07
HAPPY3,172.1317242105696 Hz,59.316120741839526 dB,5077.895310633221 Hz,3.18E-05
HAPPY4,247.51760605074915 Hz,55.08248491914057 dB,4841.639958087661 Hz,1.07E-08
HAPPY5,147.66218788851808 Hz,48.65907690181115 dB,4862.071435408803 Hz,-7.91E-07
FEARFUL1,150.569554012258 Hz,57.436245499785414 dB,4567.752681569074 Hz,1.03E-06
FEARFUL2,314.86805313379057 Hz,59.328278565692955 dB,4892.652678934406 Hz,4.04E-07
FEARFUL3,145.27605340361976 Hz,53.11857755233359 dB,4886.081693280663 Hz,-2.07E-07
FEARFUL4,315.18857732857316 Hz,61.306264782951985 dB,4839.859138783445 Hz,-3.97E-07
FEARFUL5,174.8990547940565 Hz,52.681941010725964 dB,4701.037098768832 Hz,-4.55E-07
DISGUSTED1,147.66221404376253 Hz,49.50989804200872 dB,5011.519196230393 Hz,6.50E-07
DISGUSTED2,194.26591373492775 Hz,51.95600798853418 dB,4862.3474890266125 Hz,-4.25E-07
DISGUSTED3,151.5329325942269 Hz,55.91056909157567 dB,4843.6584181103035 Hz,-1.99E-06
DISGUSTED4,236.22628825597943 Hz,55.545959183954174 dB,4878.307453715377 Hz,-8.58E-07
DISGUSTED5,109.01419704702163 Hz,42.19410233731816 dB,4827.987941114072 Hz,-2.81E-06
ANGRY1,162.66857396534496 Hz,60.49827857594518 dB,4829.734201539994 Hz,3.12E-05
ANGRY2,253.93212803491815 Hz,58.85466224069071 dB,4788.45152689977 Hz,-5.53E-07
ANGRY3,107.79203716380528 Hz,48.9359017221647 dB,4923.070133489045 Hz,-5.59E-07
ANGRY4,272.3277631345246 Hz,60.34316103992407 dB,4969.347166298669 Hz,5.14E-08
ANGRY5,185.58912216969338 Hz,61.96934975414401 dB,4720.649540301627 Hz,-4.52E-06