WAV FILE,MEAN PITCH,MEAN INTENSITY,MEAN FORMANTS
SURPRISED,150.062901,52.73880984,4923.144046
SURPRISED,295.2733667,58.26748475,4816.427395
SURPRISED,224.3933369,57.70119924,4852.260818
SURPRISED,294.4225874,58.57625284,4877.686328
SURPRISED,198.9197908,53.04413294,4946.000586
SAD,123.2373563,48.58950831,4551.836617
SAD,230.2893236,50.64414204,4912.78671
SAD,135.37956,48.88659384,4992.740305
SAD,225.5058282,50.64333104,4867.748008
SAD,95.64471944,39.07503673,4639.681425
NEUTRAL,125.4465817,46.02445984,4799.217074
NEUTRAL,246.2582867,50.02284294,4816.178844
NEUTRAL,162.0153782,54.2185321,4971.933854
NEUTRAL,242.0007695,53.59524554,4846.27037
NEUTRAL,240.2855332,46.42750107,4638.026646
HAPPY,142.9775065,54.39809847,4736.277421
HAPPY,241.7709542,59.27788045,4650.197341
HAPPY,172.1317242,59.31612074,5077.895311
HAPPY,247.5176061,55.08248492,4841.639958
HAPPY,147.6621879,48.6590769,4862.071435
FEARFUL,150.569554,57.4362455,4567.752682
FEARFUL,314.8680531,59.32827857,4892.652679
FEARFUL,145.2760534,53.11857755,4886.081693
FEARFUL,315.1885773,61.30626478,4839.859139
FEARFUL,174.8990548,52.68194101,4701.037099
DISGUSTED,147.662214,49.50989804,5011.519196
DISGUSTED,194.2659137,51.95600799,4862.347489
DISGUSTED,151.5329326,55.91056909,4843.658418
DISGUSTED,236.2262883,55.54595918,4878.307454
DISGUSTED,109.014197,42.19410234,4827.987941
ANGRY,162.668574,60.49827858,4829.734202
ANGRY,253.932128,58.85466224,4788.451527
ANGRY,107.7920372,48.93590172,4923.070133
ANGRY,272.3277631,60.34316104,4969.347166
ANGRY,185.5891222,61.96934975,4720.64954